"region","sprichness","breadth","elev_min","elev_max","sampling","sampling_mean","expanse","position_median","X.x","lat","long","bio4","bio3","bio12","bio15","bio1","X.y","cc_velocity","X","completeness_mean","completeness_median","area","rposition_median"
"mesoamerica",285,1777.54385964912,50,3750,1078,2307.14385964912,3700,1400,19,15.8229557305,-90.0111869145,1385.31628824504,68.3170732801853,1885.14100211133,69.3227503934101,224.779188517803,19,1.56826161045103,15,0.826486394600212,0.863883847549909,230560.767230599,0.364864864864865
"mindanao",121,918.181818181818,50,1550,87,138.181818181818,1500,800,20,7.76628695777778,124.913899646296,456.561655450703,83.5713373600133,2637.18532773174,31.7081712658503,247.640321283089,20,1.55272024168099,16,0.757002259536213,0.80778472472659,92880.1392865263,0.5
"n_rockies",79,1454.43037974684,350,2150,420,815.430379746835,1800,1250,21,52.1432533675758,-117.619270770909,8075.53754975405,30.9326204975547,720.398152929628,29.6742959475615,5.15389851300303,21,9.03921732108886,17,0.855931043824514,0.943352601156069,199068.164714897,0.5
"n_tropical_andes",472,1593.43220338983,50,4150,208.5,361.006355932203,4100,1700,22,4.53952256233333,-75.3283641743333,314.318251314878,88.1838959787816,2382.63557847814,37.3425306804746,202.683746483467,22,1.21133065507278,18,0.79154220945901,0.805876777251185,62924.8463240239,0.402439024390244
"ne_north_america",86,948.837209302326,50,1450,3809.5,5091.88372093023,1400,600,23,44.8967272381818,-71.8016755631818,10072.7041508815,28.0539560078268,1061.90927053176,16.589730371581,44.8731083404747,23,27.3504366801183,19,0.880414996126607,0.96504854368932,95279.7986489519,0.392857142857143
"new_zealand_alps",27,1237.03703703704,50,1450,994,1495.59259259259,1400,750,24,-43.0730358857143,170.930129165918,3787.38898285914,45.3836568155368,2175.71213406605,13.6019566996684,81.1846938582234,24,0.968984619115946,20,0.868566180982917,0.981132075471698,102681.579519802,0.5
"north_madagascar",45,1242.22222222222,50,1650,60,79.7333333333333,1600,850,25,-16.0285123848718,49.0967078466667,2058.65758860444,65.844024869007,1873.67510188918,72.2508386072036,218.428245976333,25,2.80903573888688,21,0.741559066586303,0.806201550387597,116736.254903423,0.5
"peninsular_malaysia",283,946.643109540636,50,1950,126,220.985865724382,1900,600,26,5.21441278085714,101.427870492286,568.049042504102,81.888452422551,2430.81278499527,41.2403648705407,259.867114885452,26,2.55298750122718,22,0.777202265970715,0.761872379155108,176412.020733935,0.289473684210526
"pyrenees",61,1642.62295081967,50,2050,181,295.655737704918,2000,1050,27,43.1969627704545,0.0227947840909091,5433.3962727004,37.0643542261795,935.771502459174,16.6948676772554,105.60394167994,27,2.77183753733085,23,0.898808603754509,0.922441142093839,71912.0287683736,0.5
"s_temperate_andes",23,1295.65217391304,50,1450,735,839.304347826087,1400,750,29,-41.4006507375,-72.7831231872917,3395.0675918397,51.1591044661508,1631.91581806157,51.804797982837,86.1107947404451,29,2.63807428334619,24,0.913184702681232,1,172848.979712962,0.5
"s_tropical_andes",617,1305.34846029173,150,3850,143,241.880064829822,3700,950,30,-12.5794188111364,-71.2177890325,869.933009903192,75.2263567033099,2178.54135497222,51.1223243571444,229.010077414066,30,6.28943163799019,25,0.777098088430647,0.792549519115394,182197.758356175,0.216216216216216
"siskiyous",78,1801.28205128205,50,2250,1029,1268.92307692308,2200,1150,33,41.6100295591667,-123.1696719125,5373.63027562966,47.7014581967981,1210.41220390858,70.7115040726524,92.3121360344541,33,0.619571451534971,26,0.856911862289247,0.924499229583975,68264.3101768617,0.5
"sri_lanka",99,1506.06060606061,50,2150,217,305.535353535354,2100,1000,35,6.92695535307692,80.90192919,807.423341498846,72.4208633605834,2285.78107642351,51.4005112940439,254.451683424958,35,2.28088347247808,27,0.767894129647232,0.817218543046358,30019.2718333843,0.452380952380952
"sulawesi",75,1150.66666666667,50,1750,55,69.68,1700,900,36,-0.90592520875,121.71664193225,445.943308855292,80.4444787220655,2093.72376157082,27.7596987080296,236.57679649153,36,1.05218796922881,28,0.666568999934973,0.716348445584628,148763.332915499,0.5
"taiwan",86,1889.53488372093,50,3750,1086,2250.29069767442,3700,1600,37,23.7430527844444,121.113457371111,3436.8014392696,43.5141368701534,2709.88066554591,66.5556005927186,182.685599994684,37,1.99137191404479,29,0.848356246205825,0.883866133866134,29801.4420824865,0.418918918918919
"western_ghats",129,2075.96899224806,50,2650,1953,4615.98449612403,2600,1250,38,11.1612104969565,76.4843579052174,1349.26759575132,60.6118657382995,2385.61664604027,99.4590230621052,249.524731229082,38,2.38995883824361,30,0.89464605403168,0.942947702060222,97601.5667661105,0.461538461538462
"western_himalaya",180,1351.11111111111,250,2650,85,169.527777777778,2400,1450,39,30.4252899986956,79.5413199582609,5706.28739826083,38.0747441907074,1293.54146504404,88.2077182590494,129.879334840168,39,1.21980701200488,31,0.729881355950187,0.805755395683453,166009.587204241,0.5
